[31.4398976, -84.7249188]
[39.6108492, -74.35726460000001]
[25.9023168, -80.25032709999999]
[42.0320742, -86.7416374]
[27.4799195, -82.34518899999999]
[27.4467056, -80.3256056]
[38.9071923, -77.0368707]
[33.9142037, -84.8984775]
[34.0922335, -117.435048]
[34.8957957, -117.0172826]
[33.8531568, -96.5024916]
[34.0922335, -117.435048]
[39.5296329, -119.8138027]
[39.7392358, -104.990251]
[27.8005828, -97.39638099999999]
[39.9611755, -82.99879419999999]
[45.0481968, -93.2474098]
[36.1699412, -115.1398296]
[39.9259463, -75.1196199]
[37.2089572, -93.29229889999999]
[34.1111581, -109.291475]
[37.0208865, -93.2060163]
[39.7284944, -121.8374777]
[36.5636755, -93.43796390000001]
[32.6395776, -96.53832279999999]
[40.5489358, -84.5702338]
[39.8891658, -94.3618967]
[33.5975393, -112.2718239]
[35.3732921, -119.0187125]
[40.8257625, -96.6851982]
[39.7294319, -104.8319195]
[33.7489954, -84.3879824]
[31.7512396, -103.1598876]
[44.80118210000001, -68.77781379999999]
[33.9022367, -118.081733]
[39.7392358, -104.990251]
[34.1083449, -117.2897652]
[34.1083449, -117.2897652]
[37.7749295, -122.4194155]
[29.4241219, -98.49362819999999]
[32.2686981, -107.7586404]
[41.0630102, -102.0740255]
